All entries in Hipparcos input with a radial velocity
Hip #, radeg,decdeg,l,b,rv,spectral type and luminosity class 
[FORMAT(I6,5(F8.1),2X,a11)]
  1124     3.5    76.0   120.6    13.3    -0.7  M4III:     
  1125     3.5    44.5   115.9   -17.9    15.0  F4V        
  1128     3.5   -11.3    92.1   -71.9     7.0  G5         
  1132     3.5    60.7   118.4    -1.8   -23.0  A0         
  1133     3.5    26.3   112.6   -35.9   -25.0  F7IV       
  1135     3.5    13.6   109.2   -48.3   -10.3  G5         
  1137     3.6    35.4   114.4   -26.8     1.0  F5V        
  1150     3.6    76.0   120.6    13.3   -15.9  G5         
  1152     3.6    43.8   115.9   -18.5    17.0  F8V        
  1158     3.6    -7.8    96.9   -68.8    -1.6  M3IIIvar   
  1161     3.6   -14.4    86.9   -74.7    -0.5  F5V        
  1168     3.7    20.2   111.3   -41.8   -45.8  M2III      
  1170     3.7   -18.9    75.1   -78.2   -21.9  M1III      
  1176     3.7   -14.8    86.3   -75.0   -29.8  G8III/IV   
  1184     3.7    62.2   118.7    -0.4    14.0  F6V        
  1185     3.7   -14.2    87.7   -74.5    -8.5  A7III      
  1191     3.7    -9.6    95.1   -70.4    16.9  B9V        
  1193     3.7    22.3   111.9   -39.8    15.0  A1p        
  1196     3.7     8.8   107.9   -53.0     0.9  F0IV       
  1197     3.7     8.8   107.9   -53.0     8.8  A7         
  1208     3.8    31.5   113.9   -30.7     2.3  K5         
  1209     3.8    61.8   118.7    -0.8    -8.0  K2II       
  1210     3.8   -29.0    17.6   -81.8     7.3  A4:m...    
  1213     3.8    58.4   118.2    -4.1   -43.0  F7         
  1215     3.8    27.3   113.1   -34.9    -4.0  A1Vn       
  1225     3.8   -40.1   330.7   -75.0   -11.9  K0:III     
  1235     3.8    62.7   118.8     0.1    16.0  F2III      
  1236     3.8   -32.0   358.7   -80.8    35.0  M7/M8IIIe  
  1245     3.9    13.4   109.7   -48.5   -13.8  K2         
  1269     4.0    61.0   118.6    -1.6   -17.0  G8III...   
  1277     4.0    14.7   110.3   -47.3    27.8  K2         
  1288     4.0   -31.4     1.5   -81.2    26.2  K2III      
  1296     4.1    77.0   120.9    14.2    -4.8  B9Vn       
  1302     4.1    43.6   116.2   -18.8     2.0  A2V        
  1319     4.1     8.2   108.3   -53.6     1.4  G8II-III   
  1320     4.1    15.8   110.8   -46.2    -4.1  A5         
  1325     4.2     1.9   105.4   -59.8    -6.3  M5III      
  1329     4.2    54.7   117.9    -7.9    11.0  A3...      
  1331     4.2   -20.2    72.1   -79.5    17.0  B6III/IV   
  1333     4.2    36.6   115.2   -25.7    -1.0  A0         
  1336     4.2    36.5   115.2   -25.9     7.1  G0         
  1339     4.2    10.2   109.1   -51.7    11.2  M2III:     
  1340     4.2    13.9   110.3   -48.1    -1.0  A3         
  1342     4.2   -78.8   305.1   -38.2   -12.5  F3III      
  1349     4.2   -52.7   314.8   -63.7    -9.0  G2V        
  1354     4.2    61.5   118.8    -1.1    -3.6  G8III      
  1355     4.2    63.6   119.1     0.9   -16.0  A0         
  1366     4.3    38.7   115.6   -23.7     0.9  A2V        
  1368     4.3    40.9   116.0   -21.5     4.8  M0         
  1372     4.3    47.9   117.0   -14.5    -8.8  B7III      
  1382     4.3   -43.9   323.1   -71.9     9.3  G5IV-V     
  1383     4.3    62.8   119.1     0.2     3.0  A0V        
  1388     4.3    16.5   111.2   -45.6    -3.3  G0         
  1390     4.3    16.5   111.2   -45.6    -3.0  F5         
  1392     4.4     8.9   108.8   -53.1    35.9  F5         
  1401     4.4    50.3   117.4   -12.2   -43.0  NV...      
  1415     4.4    51.4   117.6   -11.1   -35.2  O9IIInn    
  1421     4.4     1.7   105.9   -60.1    -9.4  K0II       
  1427     4.5    16.3   111.3   -45.8     7.9  F6V        
  1428     4.5    59.1   118.6    -3.5   -12.0  B2.5V      
  1429     4.5    20.2   112.3   -42.0     9.0  M4II-III   
  1437     4.5     0.4   105.2   -61.3    43.7  F9V        
  1439     4.5    12.8   110.4   -49.3     2.6  G8II       
  1444     4.5   -13.5    91.5   -74.2    28.2  G2V        
  1464     4.6   -21.1    69.6   -80.4    -1.0  B9/B9.5IV  
  1465     4.6    11.2   110.0   -50.8     8.6  K0III      
  1466     4.6    61.7   119.0    -0.9   -40.0  B1II...    
  1473     4.6    36.8   115.6   -25.6    -8.0  A2V        
  1475     4.6    44.0   116.7   -18.5    12.5  M1V        
  1477     4.6    30.4   114.5   -31.9   -38.4  K3III      
  1484     4.6    76.3   120.9    13.5    -2.0  B9         
  1486     4.6    62.2   119.1    -0.4   -30.0  K7Iab:     
  1488     4.6    26.1   113.8   -36.2   -10.7  A2...      
  1493     4.7    31.5   114.8   -30.8    -5.3  A0IV       
  1495     4.7    22.9   113.2   -39.4    12.0  G8IV       
  1499     4.7    -8.1    99.3   -69.4   -10.4  G0V        
  1501     4.7    43.8   116.7   -18.7     7.0  B8V        
  1503     4.7    16.0   111.5   -46.2    10.7  F5...      
  1547     4.8    14.1   111.2   -48.1    -9.5  K0         
  1550     4.8    59.1   118.8    -3.5     1.5  B9V        
  1553     4.8    26.5   114.1   -35.9   -10.9  G8III      
  1561     4.9   -37.8   333.3   -77.4    40.0  A5IIIm...  
  1562     4.9    -8.8    99.0   -70.2    18.6  K2III      
  1575     4.9    40.7   116.5   -21.7   -37.5  K1III      
  1591     5.0    42.9   116.8   -19.6    15.0  F2III      
  1593     5.0    44.7   117.1   -17.8     9.0  C...       
  1595     5.0    16.3   112.0   -46.0    19.7  K0         
  1598     5.0    38.2   116.2   -24.2     9.0  G0         
  1599     5.0   -64.9   308.3   -51.9     9.0  F9V        
  1603     5.0    48.9   117.6   -13.7    -3.0  A0Vs       
  1605     5.0    62.1   119.3    -0.6   -52.0  B0.5IIIn...
  1621     5.1    54.2   118.3    -8.4   -53.0  B3         
  1623     5.1   -77.2   305.2   -39.8     2.9  F6V        
  1630     5.1    30.9   115.1   -31.5     3.8  B7V        
  1637     5.1    60.3   119.1    -2.4   -26.0  B2III      
  1638     5.1    10.9   110.8   -51.2     6.0  K0         
  1640     5.1    31.0   115.2   -31.4    10.2  K1IV       
  1645     5.1     8.2   109.9   -53.9    15.9  K3III      
  1647     5.2   -69.6   306.9   -47.3    11.6  B9V        
  1652     5.2    61.9   119.3    -0.8   -29.0  M2II:      
  1656     5.2    26.5   114.5   -35.8    22.9  K5III      
  1657     5.2    32.9   115.5   -29.5   -36.1  K5III      
  1664     5.2    18.5   112.9   -43.8    40.4  G5         
  1669     5.2    33.0   115.6   -29.5    -3.5  F5         
  1670     5.2    11.0   110.9   -51.2   -17.8  A0V        
  1677     5.2    12.8   111.5   -49.4   -19.2  A3         
  1686     5.3    38.0   116.4   -24.5     9.1  F5III      
  1694     5.3   -35.8   337.6   -79.2    94.8  M0III      
  1708     5.4   -29.0    15.5   -83.2    20.6  K0III      
