#   indx         mu         mg         mr         mi         mz          Mr
#
    2602 1.990933e+01 1.827159e+01 1.741880e+01 1.700625e+01 1.673439e+01 -1.999933e+01
    2605 1.911983e+01 1.773416e+01 1.698020e+01 1.662992e+01 1.638364e+01 -2.074391e+01
    2622 1.972875e+01 1.802251e+01 1.713365e+01 1.669717e+01 1.637665e+01 -2.031966e+01
    2874 1.969014e+01 1.768890e+01 1.666436e+01 1.625008e+01 1.590802e+01 -2.100017e+01
    2887 1.745365e+01 1.640544e+01 1.601713e+01 1.569854e+01 1.567139e+01 -2.140642e+01
    2889 1.949253e+01 1.791669e+01 1.716162e+01 1.671153e+01 1.646790e+01 -2.026753e+01
    2890 1.854475e+01 1.748587e+01 1.699569e+01 1.668472e+01 1.658616e+01 -2.070515e+01
    2897 1.838088e+01 1.695600e+01 1.620510e+01 1.581040e+01 1.560803e+01 -2.131012e+01
    2899 1.862931e+01 1.704523e+01 1.629311e+01 1.592954e+01 1.558782e+01 -2.139780e+01
    2913 1.855618e+01 1.736425e+01 1.661247e+01 1.624343e+01 1.593881e+01 -2.106904e+01
    2933 1.904666e+01 1.727841e+01 1.633510e+01 1.592015e+01 1.555014e+01 -2.137416e+01
    2951 1.809520e+01 1.718922e+01 1.669345e+01 1.637791e+01 1.627328e+01 -2.091302e+01
    3023 1.978940e+01 1.803633e+01 1.711042e+01 1.672942e+01 1.640166e+01 -2.045617e+01
    3026 1.875961e+01 1.786003e+01 1.756381e+01 1.731991e+01 1.729932e+01 -2.001563e+01
    3100 1.904339e+01 1.782143e+01 1.707217e+01 1.672324e+01 1.648042e+01 -2.054062e+01
    3119 1.978798e+01 1.813682e+01 1.725006e+01 1.675266e+01 1.648639e+01 -2.043111e+01
    3134 1.878793e+01 1.765023e+01 1.708557e+01 1.678375e+01 1.666468e+01 -2.057127e+01
    3138 1.936791e+01 1.817145e+01 1.754152e+01 1.718442e+01 1.692145e+01 -1.986959e+01
    3271 1.836830e+01 1.678089e+01 1.592254e+01 1.550667e+01 1.534233e+01 -2.168690e+01
    3274 1.975171e+01 1.828370e+01 1.734633e+01 1.697741e+01 1.664741e+01 -2.024822e+01
    3286 1.894499e+01 1.756706e+01 1.674541e+01 1.634364e+01 1.605587e+01 -2.083779e+01
    3288 1.911901e+01 1.764572e+01 1.677394e+01 1.638551e+01 1.605457e+01 -2.081454e+01
    3289 1.962433e+01 1.837666e+01 1.755826e+01 1.716522e+01 1.689086e+01 -2.002443e+01
    3293 1.896844e+01 1.783535e+01 1.706039e+01 1.665231e+01 1.648487e+01 -2.054824e+01
    3297 1.974322e+01 1.800663e+01 1.703555e+01 1.661261e+01 1.631044e+01 -2.059307e+01
    3300 1.915490e+01 1.805600e+01 1.740670e+01 1.699236e+01 1.682079e+01 -2.020388e+01
    3303 1.895740e+01 1.784618e+01 1.726453e+01 1.686622e+01 1.661635e+01 -2.028806e+01
    3312 1.905574e+01 1.792846e+01 1.736584e+01 1.707289e+01 1.695635e+01 -2.014888e+01
    3332 2.019055e+01 1.847745e+01 1.754329e+01 1.715424e+01 1.684146e+01 -2.008762e+01
    3338 1.945966e+01 1.782755e+01 1.711298e+01 1.666891e+01 1.649487e+01 -2.052572e+01
    3365 1.978637e+01 1.792931e+01 1.698487e+01 1.660680e+01 1.628851e+01 -2.069689e+01
    3366 1.913045e+01 1.788156e+01 1.706514e+01 1.664058e+01 1.627873e+01 -2.060642e+01
    3374 1.949172e+01 1.772715e+01 1.674319e+01 1.632019e+01 1.601882e+01 -2.092193e+01
    3414 1.973462e+01 1.827474e+01 1.732512e+01 1.695162e+01 1.665540e+01 -2.039897e+01
    3424 2.010449e+01 1.846330e+01 1.755351e+01 1.710945e+01 1.679911e+01 -2.020705e+01
    3472 1.942426e+01 1.780133e+01 1.691245e+01 1.654103e+01 1.617887e+01 -2.063667e+01
    3473 2.030911e+01 1.800064e+01 1.703403e+01 1.648010e+01 1.605702e+01 -2.048937e+01
    3524 1.855667e+01 1.723262e+01 1.650688e+01 1.612976e+01 1.585997e+01 -2.079943e+01
    3553 2.058001e+01 1.825653e+01 1.728171e+01 1.680517e+01 1.633921e+01 -2.022121e+01
    3583 1.997440e+01 1.824939e+01 1.748207e+01 1.714528e+01 1.688035e+01 -1.998799e+01
    3615 1.916764e+01 1.731012e+01 1.634649e+01 1.593492e+01 1.559033e+01 -2.134868e+01
    3632 1.917108e+01 1.776684e+01 1.691229e+01 1.657723e+01 1.616024e+01 -2.046670e+01
    3634 1.967624e+01 1.784059e+01 1.693292e+01 1.654362e+01 1.619502e+01 -2.045662e+01
    3636 1.923558e+01 1.754807e+01 1.666258e+01 1.625735e+01 1.588397e+01 -2.097597e+01
    3639 1.867092e+01 1.749502e+01 1.679938e+01 1.643589e+01 1.609759e+01 -2.082719e+01
    3642 1.841292e+01 1.698158e+01 1.608712e+01 1.563219e+01 1.523643e+01 -2.156195e+01
    3649 1.880862e+01 1.756986e+01 1.714523e+01 1.689600e+01 1.682905e+01 -2.026998e+01
    3659 1.808588e+01 1.679041e+01 1.614095e+01 1.579137e+01 1.555729e+01 -2.121784e+01
    3667 2.022971e+01 1.838127e+01 1.737911e+01 1.695975e+01 1.646323e+01 -2.002183e+01
